failures,higher,studytime,Medu,Fedu,Dalc,age,reason_reputation,school,address,internet,G3
0,1,2,4,4,1,18,0,0,0,0,6
0,1,2,1,1,1,17,0,0,0,1,6
3,1,2,1,1,2,15,0,0,0,1,10
0,1,3,4,2,1,15,0,0,0,1,15
0,1,2,3,3,1,16,0,0,0,0,10
0,1,2,4,3,1,16,1,0,0,1,15
0,1,2,2,2,1,16,0,0,0,1,11
0,1,2,4,4,1,17,0,0,0,0,6
0,1,2,3,2,1,15,0,0,0,1,19
0,1,2,3,4,1,15,0,0,0,1,15
0,1,2,4,4,1,15,1,0,0,1,9
0,1,3,2,1,1,15,1,0,0,1,12
0,1,1,4,4,1,15,0,0,0,1,14
0,1,2,4,3,1,15,0,0,0,1,11
0,1,3,2,2,1,15,0,0,0,1,16
0,1,1,4,4,1,16,0,0,0,1,14
0,1,3,4,4,1,16,1,0,0,1,14
0,1,2,3,3,1,16,1,0,0,0,10
3,1,1,3,2,2,17,0,0,0,1,5
0,1,1,4,3,1,16,0,0,0,1,10
0,1,2,4,3,1,15,1,0,0,1,15
0,1,1,4,4,1,15,0,0,0,1,15
0,1,2,4,2,1,16,0,0,0,1,16
0,1,2,2,2,2,16,1,0,0,1,12
0,1,3,2,4,1,15,0,0,1,1,8
2,1,1,2,2,1,16,0,0,0,1,8
0,1,1,2,2,1,15,0,0,0,1,11
0,1,1,4,2,2,15,0,0,0,1,15
0,1,2,3,4,1,16,0,0,0,1,11
0,1,2,4,4,5,16,0,0,0,1,11
0,1,2,4,4,3,15,0,0,0,1,12
0,1,2,4,4,1,15,1,0,0,1,17
0,1,2,4,3,1,15,0,0,1,1,16
0,1,2,3,3,1,15,0,0,0,1,12
0,1,1,3,2,1,16,0,0,0,1,15
0,1,1,2,3,1,15,0,0,0,0,6
0,1,3,4,3,1,15,0,0,0,1,18
0,1,3,4,4,1,16,1,0,1,1,15
0,1,3,3,4,1,15,0,0,1,1,11
0,1,1,2,2,1,15,1,0,1,0,13
1,1,2,2,2,1,16,0,0,0,1,11
0,1,1,4,4,2,15,0,0,0,1,12
0,1,2,4,4,1,15,0,0,0,1,18
0,1,1,2,2,1,15,0,0,0,1,11
1,1,2,2,2,2,16,0,0,0,1,9
0,1,2,4,3,1,15,0,0,0,1,6
0,1,2,3,3,1,16,0,0,0,1,11
0,1,4,4,3,1,16,1,0,0,1,20
0,1,2,4,2,2,15,0,0,0,0,14
1,1,2,4,4,1,15,0,0,0,1,7
0,1,2,2,2,2,16,0,0,0,1,13
0,1,2,4,2,1,15,0,0,0,1,13
1,1,1,4,2,3,15,0,0,0,0,10
0,1,1,4,4,2,15,0,0,0,1,11
0,1,1,3,3,4,15,0,0,0,1,13
0,1,2,2,1,1,16,0,0,0,1,10
0,1,2,4,3,1,15,1,0,0,1,15
0,1,2,4,4,1,15,1,0,0,0,15
0,1,2,1,2,1,15,0,0,0,1,9
0,1,2,4,2,1,16,0,0,0,1,16
0,1,2,4,4,2,16,0,0,1,0,11
0,1,1,1,1,5,16,0,0,0,1,11
0,1,2,1,2,1,16,1,0,0,1,9
0,1,3,4,3,2,16,0,0,0,1,9
0,1,2,4,3,2,15,1,0,0,1,10
